,user_handle,tweet
0,Gaurav Sabnis,"Modi's US visit this time has unleashed a wave of mainstream media critiques in the US like never before. And of course, the Congressional boycott. 

How many will they call anti India and Soros funded?"
1,Gaurav Sabnis,And it's all way more nuanced and hard hitting than I expected. Almost every outlet.
2,Gaurav Sabnis,"Btw have you noticed that the right wing media, other than Musk, has shown no warmth towards Modi or Sanghis. Sanghis randomly act like GOP's best friends. 

Much like a century ago with the 1930s sangh, the affinity they feel for white fascists is entirely one sided, lol."
3,Sharad Bandelkar,"Wht is the accountability of Journalists?
Politicians have to come before PPL and r accountable.
Criticizing doesn't require much talent.
Taking decisions and implementation requires qualities.
PPL r learned and doesn't give much importance to these media reports."
4,Godrej & Boyce,"Prepare to be pleasantly surprised as we reveal our footprints in the most unexpected corners! With innovation as our compass, we're making waves far and wide by spreading warmth and wonder, pushing boundaries and leaving our mark on the world."
5,Prithvi,"Yaayyyy....

The usual suspect....

TheAtlantic....."
6,Walrus Bird,"From this piece, hard to read but one can’t help but feel awful about the state of things. I’m also quite ashamed of our NRIs here breathlessly taking in propaganda, plus the assumptions about being from Pak"
7,Srikanth Gonuguntla ,Best wishes to Mirza
8,Wakanda_1207,"I certainly don't eat parathas and I love my medu vada, idli , dosa."
9,Maan,It's worse than what you predicted a few weeks ago
10,SANJAY HEGDE,Sorry Doc Singhvi. We south Indians have heard this joke forever & there is no malice. I have even heard versions which had Sardars who opened a dhaba there after partition. Current campaign against #PrakashRaj variant of Manishankar called me chaiwala theme. Not buying it
11,Grouchy Maxx,"She is just as much a low-life as her master.
The most disgusting woman in that parliament."
12,Indo-Pacific News - Geo-Politics & Defense News,"Modi’s #US visit sends a big, if quiet, signal to #China

Though the White House downplays it, Prime Minister Narendra Modi’s swing through Washington is about enhancing a partnership that includes stopping Beijing’s aggressive expansion."
13,ccP wumao SLAYER 1,"There is a significant chance that yesterday's Modi's visit would be remembered in future as a very important point for India rising economy in a good way, as it was during Deng's visit 1979"
14,John Bulkeley,"Well, maybe. India is very suspicious about becoming allied with any nation, let alone the US. They've always coveted their non-aligned status, so something big must be convincing India they have to start picking a side. Who knows if they see something more than we're seeing."
15,melancholy,He made several references to Indo PAC security and threats (read )
16,Tina Selsmark,I  #Modi
17,Willsst,Wet dream.
18,Athought,"Feel sorry for US, people will know after 10 years."
19,eric,"Unless India agrees to let US occupies 300 military bases on their territory, there is no way that India can match China PLA."
20,batòr2013,"Don't be over excited, India is playing its own game."
21,dharmic aeroplate v2,he is also scheduled to visit france soon for more strategic talks and deals. around 14th july.
22,jjgolfbeast,"lol, who in the world takes india seriously? Its not even a civilized place"
23,Sari Arho Havrén,"The dedollarization drive is facing a confidence crisis as the yuan, ruble and Argentine peso simultaneously plummet."
24,Indo-Pacific News - Geo-Politics & Defense News,None
25,Matthew Brooker,"Quite the graph. China’s GDP is now declining as a percentage of US GDP. The future isn’t what it used to be 

https://bloomberg.com/news/features/2023-08-20/xi-jinping-is-running-china-s-economy-cold-on-purpose?utm_source=website&utm_medium=share&utm_campaign=twitter?sref=jR90f8Ni… via @business"
26,William Yang,"""A bipartisan group of Australian parliamentarians is preparing to visit #Taiwan next month, in another sign both major parties remain determined to resist #China's demand they cut off political contact with Taipei."""
27,The Select Committee on the CCP,"Chairman @RepGallagher to @TeamCavuto on the Chinese military drills in response to Taiwan VP @ChingteLai’s visit to North America: 

“This is an attempt to influence the Taiwanese election… 

[If Xi] can’t take Taiwan via political warfare, he may consider actual warfare.”"
28,Prashant Bhushan,"To get a US State visit Modi not only agreed to an exorbitant drone deal with a US company, but also agreed to subsidise 70% of the cost of a private US company setting up a chip assembling plant in Gujarat.
Micron will hold 100 percent ownership in a plant costing $2.75 billion, in which they would have invested would have invested only 0.825 billion!
https://countercurrents.org/2023/07/india-will-pay-70-of-cost-but-micron-will-own-100-of-the-plant-a-curious-business-model/…"
29,Navodit,Bad Deal
30,Nationalist Indian/Sanjay Singh,"Instead of Tweets any corrupt action can be brought to the notice of courts with facts, rather, when you try to paint Modi as corrupt it doesn't gets response from public: his honesty has been endorsed by Gujrat and Nation 5-6 times:"
31,Vishweshwar Raste,yes!
32,Ajay Bahl ,Idiot Alert !!!
33,VineetKhanna ,"Anybody can get a state visit for 2.8B$ ?  Specially when the host country gdp is nearly 24T$….
Quality of discourse and arguments from this man is getting bad to worse 
Guess that shows the quality of lawyers and their arguments…."
34,Zafar Mirzo,"Human, humanness, and what's next? Humanism or dehumanization?"
35,Indian.,Reality.
36,Rohan Choksi,"For once, just once, get your head out of the fogg of hate surrounding you and think for the country."
37,AAP Honululu।Mission 2024(Parody),सुबह सुबह आके ट्वीटर पे ही हगते हो हैं ना
38,Vivek Bhatt,तो एक रू कैश दे दो
39,Kanchan Yadav,आजादी के 75 साल बाद पहला सेमीकंडक्टर चिप प्लांट भारत में लगनें जा रहा है श्रीमान राहुल गांधी के बर्दाश्त से बाहर है क्योंकि 75 साल तक कांग्रेस की सरकारें सोती रहीं 
40,Prashant Bhushan,None
41,Jagrup Singh Parmar,"India’s semiconductor journey started with Punjab in 1974. The Department of Electronics (DoE) realised that India needed to develop capacity in semiconductor design and fabrication, initially with foreign help. After the Cabinet approved the idea of setting up the Semiconductor… Show more"
42,Nupur Reddy,"Prashant ji your day starts in the name of Modi ji & ends in the Modi ji

How much time you waste in remembering Modi ji, if you use this time to make CONG a good party then CONG would not lost 2014 & 2019 Lok Sabha elections"
43,Neeraj Singh Dogra ,"Please don’t stop him. 
Such people are the unpaid agents who inspire millions of people to keep Voting @narendramodi ji to power.
Modi ji’s biggest strength is his critics. His critics inspire his supporters."
44,BALBIR SINGH ,Akal ke dushman
45,aj,Surya uday 2014 ke baad hi hua hai; Ek andh bhakt ki sooch se....Soochalaya mein apna waqt zaya karten hain. It is good we are getting new investment in India- kya hua agar Modi promote Gujrat  for the luv of his birth place where the free  port is controlled by his dear friend.
46,Kumar Gaurav ,75 saal pehle yeh technology hi nahin thi. Sir.
47,Paytm Travel,"This Island is the perfect place to visit to get one with nature. Picturesque views, unmatched adventure and an exhilarating experience. Did you know you can also fly to Lakshadweep now? Explore flights to Agatti Island. 

#TravelPanti #TravelInspo #Lakshadweep #PaytmTravel… Show more"
